"PLAYER","TEAM","INNINGS","NOT OUT","RUNS","HS","AVERAGE","BALL FACED","STRIKE RATE","100'S","50'S","4'S","6'S"
"Morne Morkel","Brisbane Heat","2","0","4","2","2","11","36.363636363636","0","0","0","0"
"Jake Ball","Sydney Sixers","1","0","4","4","4","6","66.666666666667","0","0","1","0"
"Michael Neser","Adelaide Strikers","3","2","3","2","3","9","33.333333333333","0","0","0","0"
"Billy Stanlake","Melbourne Stars","3","2","3","1*","3","12","25","0","0","0","0"
"Liam O Conner","Adelaide Strikers","1","0","2","2","2","4","50","0","0","0","0"
"Jack Wood","Brisbane Heat","1","0","2","2","2","3","66.666666666667","0","0","0","0"
"Johan Botha","Hobart Hurricanes","2","2","2","1*","#DIV/0!","2","100","0","0","0","0"
"Zahir Khan","Melbourne Stars","1","1","2","2*","#DIV/0!","4","50","0","0","0","0"
"Lance Morris","Melbourne Stars","1","0","2","2","2","6","33.333333333333","0","0","0","0"
"Jonathan Cook","Sydney Thunder","1","1","2","2*","#DIV/0!","2","100","0","0","0","0"
"Cameron Valente","Adelaide Strikers","1","0","1","1","1","5","20","0","0","0","0"
"Sandeep Lamichhane","Hobart Hurricanes","1","1","1","1*","#DIV/0!","1","100","0","0","0","0"
"Noor Ahmad","Melbourne Renegades","1","0","1","1","1","2","50","0","0","0","0"
"Fawad Ahmed","Perth Scorchers","2","0","1","1","0.5","4","25","0","0","0","0"
"Peter Siddle","Adelaide Strikers","1","0","0","0","0","3","0","0","0","0","0"
"Nick Winter","Hobart Hurricanes","2","1","0","0","0","3","0","0","0","0","0"
"Benny Howell","Melbourne Renegades","1","0","0","0","0","2","0","0","0","0","0"
"Ben Manenti","Sydney Sixers","1","0","0","0","0","1","0","0","0","0","0"
"Lloyd Pope","Sydney Sixers","1","0","0","0","0","4","0","0","0","0","0"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
